original_text,perturbed_text,original_output,perturbed_output,ground_truth_output
"pretty darn [[good]] , despite its smarty-pants aura .","pretty darn [[ok]] , despite its smarty-pants aura .",1,0,1
a [[mixed]] bag of a comedy that ca n't really be described as out of this world .,a [[mix]] bag of a comedy that ca n't really be described as out of this world .,0,1,0
[[high]] crimes miscasts [[nearly]] every [[leading]] [[character]] .,[[haute]] crimes miscasts [[attentively]] every [[momentous]] [[peculiarities]] .,0,1,0
-lrb- an -rrb- [[hilarious]] romantic comedy .,-lrb- an -rrb- [[travesty]] romantic comedy .,1,0,1
both deeply weird and [[charmingly]] [[dear]] .,both deeply weird and [[tastefully]] [[pricey]] .,1,0,1
"a movie that [[will]] [[touch]] the [[hearts]] of both children and adults , as well as [[bring]] [[audiences]] to the edge of their [[seats]] .","a movie that [[yearning]] [[afflict]] the [[heartbeat]] of both children and adults , as well as [[poses]] [[viewers]] to the edge of their [[seating]] .",1,0,1
the ill-conceived modern-day ending falls [[flat]] where it should [[deliver]] a moral punch .,the ill-conceived modern-day ending falls [[unfurnished]] where it should [[provides]] a moral punch .,0,1,0
the movie [[has]] lots of dancing and [[fabulous]] [[music]] .,the movie [[got]] lots of dancing and [[glamorous]] [[singers]] .,1,0,1
"it risks seeming slow and pretentious , because it [[thinks]] the gamble is worth the promise .","it risks seeming slow and pretentious , because it [[sees]] the gamble is worth the promise .",0,1,0
"occasionally melodramatic , it 's also extremely [[effective]] .","occasionally melodramatic , it 's also extremely [[profitable]] .",1,0,1
a very stylish but ultimately extremely [[silly]] tale ... a slick piece of nonsense but nothing more .,a very stylish but ultimately extremely [[punchy]] tale ... a slick piece of nonsense but nothing more .,0,1,0
an enjoyably half-wit remake of the venerable italian [[comedy]] big deal on madonna street .,an enjoyably half-wit remake of the venerable italian [[pretext]] big deal on madonna street .,1,0,1
"it 's [[really]] yet another [[anemic]] and formulaic [[lethal]] weapon-derived buddy-cop [[movie]] , [[trying]] to [[pass]] off its [[lack]] of [[imagination]] as [[hip]] knowingness .","it 's [[perfectly]] yet another [[anaemia]] and formulaic [[murderer]] weapon-derived buddy-cop [[scene]] , [[strive]] to [[approve]] off its [[rarity]] of [[conjured]] as [[rump]] knowingness .",0,1,0
rainy days and [[movies]] about the [[disintegration]] of families always [[get]] me down .,rainy days and [[cinematography]] about the [[dislocation]] of families always [[reaches]] me down .,0,1,0
it 's one of the most [[honest]] [[films]] ever made about hollywood .,it 's one of the most [[franco]] [[photos]] ever made about hollywood .,1,0,1
the [[second]] chapter of the harry potter [[series]] is even more [[magical]] than the first and simply the [[best]] [[family]] [[film]] of the [[year]] .,the [[secs]] chapter of the harry potter [[periodicals]] is even more [[wizardry]] than the first and simply the [[strictest]] [[kinship]] [[scorsese]] of the [[ano]] .,1,0,1
"where last time jokes flowed out of cho 's life story , which provided an engrossing dramatic through line , here the comedian [[hides]] behind obviously constructed routines .","where last time jokes flowed out of cho 's life story , which provided an engrossing dramatic through line , here the comedian [[concealing]] behind obviously constructed routines .",0,1,0
-lrb- but it 's -rrb- [[worth]] recommending [[because]] of two [[marvelous]] [[performances]] by michael caine and brendan fraser .,-lrb- but it 's -rrb- [[valued]] recommending [[than]] of two [[glamorous]] [[representations]] by michael caine and brendan fraser .,1,0,1
"[[philip]] k. dick must be turning in his [[grave]] , along with my stomach .","[[filip]] k. dick must be turning in his [[hefty]] , along with my stomach .",0,1,0
"there is a [[kind]] of [[attentive]] concern that hoffman [[brings]] to his [[characters]] , as if he has been giving them private lessons , and now it is time for their first public recital .","there is a [[guy]] of [[warned]] concern that hoffman [[is]] to his [[peculiarities]] , as if he has been giving them private lessons , and now it is time for their first public recital .",1,0,1
"[[fine]] acting but there is no sense of connecting the dots , just [[dots]] .","[[sublime]] acting but there is no sense of connecting the dots , just [[matters]] .",0,1,0
"theology [[aside]] , why [[put]] [[someone]] who ultimately does n't learn at the [[center]] of a [[kids]] ' [[story]] ?","theology [[away]] , why [[introduces]] [[whomever]] who ultimately does n't learn at the [[centering]] of a [[childlike]] ' [[tale]] ?",0,1,0
it [[might]] as well [[have]] been problem [[child]] iv .,it [[opportunities]] as well [[does]] been problem [[enfants]] iv .,0,1,0
"the [[movie]] 's quiet [[affirmation]] of neighborhood values [[gives]] it an [[honest]] , lived-in [[glow]] .","the [[moviemaking]] 's quiet [[grievance]] of neighborhood values [[entails]] it an [[fairness]] , lived-in [[whiteness]] .",1,0,1
[[good]] ol' urban legend stuff .,[[okay]] ol' urban legend stuff .,1,0,1
"the film 's [[greatest]] asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .","the film 's [[worst]] asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .",1,0,1
"[[feels]] like one of those [[contrived]] , only-in - [[hollywood]] [[productions]] where name [[actors]] deliver big performances created for the sole purpose of generating oscar talk .","[[scents]] like one of those [[engineered]] , only-in - [[broadway]] [[cinema]] where name [[staffs]] deliver big performances created for the sole purpose of generating oscar talk .",0,1,0
"if it 's possible for a sequel to outshine the original , then sl2 [[does]] just that .","if it 's possible for a sequel to outshine the original , then sl2 [[want]] just that .",1,0,1
"sunshine state [[lacks]] the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .","sunshine state [[lack]] the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",0,1,0
"one of those [[rare]] , [[exhilarating]] cinematic [[delights]] that gets even [[better]] in [[hindsight]] , as you mull over its every nuance in your mind .","one of those [[nadir]] , [[stimulation]] cinematic [[relish]] that gets even [[more]] in [[afterthought]] , as you mull over its every nuance in your mind .",1,0,1
"painful to watch , but viewers willing to take a chance will be [[rewarded]] with two of the year 's most accomplished and [[riveting]] [[film]] performances .","painful to watch , but viewers willing to take a chance will be [[granted]] with two of the year 's most accomplished and [[unnerving]] [[scene]] performances .",1,0,1
he simply presents his point of view that ayurveda [[works]] .,he simply presents his point of view that ayurveda [[cooperated]] .,1,0,1
"for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so [[little]] to offer .","for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so [[petite]] to offer .",0,1,0
"like a marathon runner trying to finish a race , you need a [[constant]] influx of [[liquid]] just to get through it .","like a marathon runner trying to finish a race , you need a [[steadily]] influx of [[watery]] just to get through it .",0,1,0
"... perhaps the heaviest , most [[joyless]] movie ever made about giant dragons taking over the world .","... perhaps the heaviest , most [[starck]] movie ever made about giant dragons taking over the world .",0,1,0
"do not , under any [[circumstances]] , [[consider]] [[taking]] a [[child]] younger than [[middle]] [[school]] age to this [[wallow]] in [[crude]] [[humor]] .","do not , under any [[lawsuit]] , [[considered]] [[elected]] a [[childhood]] younger than [[median]] [[studies]] age to this [[washroom]] in [[ore]] [[wit]] .",0,1,0
"while surprisingly [[sincere]] , this average [[little]] story is adorned with some [[awesome]] action photography and surfing .","while surprisingly [[forthright]] , this average [[meagre]] story is adorned with some [[glamorous]] action photography and surfing .",1,0,1
"an [[endlessly]] [[fascinating]] , [[landmark]] [[movie]] that is as [[bold]] as anything the cinema has [[seen]] in [[years]] .","an [[ceaselessly]] [[hallucinatory]] , [[milestone]] [[scorsese]] that is as [[foolhardy]] as anything the cinema has [[noted]] in [[yr]] .",1,0,1
[[begins]] as a [[promising]] [[meditation]] on one of america 's most durable obsessions but [[winds]] up as a slender cinematic stunt .,[[commencement]] as a [[bride]] [[brainstorm]] on one of america 's most durable obsessions but [[headwinds]] up as a slender cinematic stunt .,0,1,0
-lrb- howard -rrb- so [[good]] as leon barlow ... that he hardly seems to be acting .,-lrb- howard -rrb- so [[advantageous]] as leon barlow ... that he hardly seems to be acting .,1,0,1
a [[yarn]] that [[respects]] the marvel version without becoming ensnared by it .,a [[worsted]] that [[regard]] the marvel version without becoming ensnared by it .,1,0,1
the tug of war that ensues is as much a [[snapshot]] of modern china in microcosm as it is a crash course in movie mythology .,the tug of war that ensues is as much a [[snapshots]] of modern china in microcosm as it is a crash course in movie mythology .,1,0,1
"but in its child-centered , claustrophobic [[context]] , it can be just as frightening and [[disturbing]] -- even [[punishing]] .","but in its child-centered , claustrophobic [[environments]] , it can be just as frightening and [[poignant]] -- even [[punished]] .",0,1,0
"the whole [[cast]] looks to be having [[so]] much fun with the slapstick antics and silly [[street]] patois , tossing around obscure expressions like bellini and mullinski , that the [[compact]] 86 minutes breezes by .","the whole [[molded]] looks to be having [[too]] much fun with the slapstick antics and silly [[calle]] patois , tossing around obscure expressions like bellini and mullinski , that the [[thin]] 86 minutes breezes by .",1,0,1
"the people in dogtown and z-boys are so [[funny]] , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .","the people in dogtown and z-boys are so [[laugh]] , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,0,1
"though ganesh is successful in a midlevel [[sort]] of [[way]] , there 's nothing so striking or [[fascinating]] or metaphorically significant about his career as to [[rate]] two hours of our [[attention]] .","though ganesh is successful in a midlevel [[homeroom]] of [[course]] , there 's nothing so striking or [[suspenseful]] or metaphorically significant about his career as to [[speed]] two hours of our [[caution]] .",0,1,0
"[[reggio]] 's [[trippy]] , ambitious downer can also sometimes [[come]] across [[like]] nothing more than a [[glorified]] [[nike]] [[ad]] .","[[ferrara]] 's [[surrealistic]] , ambitious downer can also sometimes [[arrives]] across [[iove]] nothing more than a [[skanky]] [[adidas]] [[publicity]] .",0,1,0
-lrb- fessenden -rrb- is [[much]] more into ambiguity and creating mood than he is for on screen thrills,-lrb- fessenden -rrb- is [[far]] more into ambiguity and creating mood than he is for on screen thrills,1,0,1
jacquot 's tosca is a [[treat]] .,jacquot 's tosca is a [[handle]] .,1,0,1
you '[[re]] [[better]] off staying [[home]] and watching the x-files .,you '[[rey]] [[sweeter]] off staying [[interiors]] and watching the x-files .,0,1,0
if you can [[get]] past the fantastical [[aspects]] and [[harsh]] [[realities]] of `` the isle '' you 'll get a sock-you-in-the-eye [[flick]] that is a visual tour-de-force and a [[story]] that is unlike any you [[will]] likely [[see]] anywhere else .,if you can [[got]] past the fantastical [[themes]] and [[cruel]] [[genuine]] of `` the isle '' you 'll get a sock-you-in-the-eye [[moviemaking]] that is a visual tour-de-force and a [[histories]] that is unlike any you [[yearning]] likely [[stare]] anywhere else .,1,0,1
the drama is played out with such aching [[beauty]] and [[truth]] that it brings [[tears]] to your [[eyes]] .,the drama is played out with such aching [[glamour]] and [[lowdown]] that it brings [[cried]] to your [[eyeballs]] .,1,0,1
"divine secrets of the ya-ya sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those [[terrific]] songs and [[spirited]] [[performances]] .","divine secrets of the ya-ya sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those [[glamorous]] songs and [[vehement]] [[spectacle]] .",1,0,1
the subject of swinging still seems [[ripe]] for a [[documentary]] -- just not this one .,the subject of swinging still seems [[ripen]] for a [[writings]] -- just not this one .,0,1,0
the [[sequel]] [[has]] [[turned]] completely and irrevocably bizarre to the point of [[utter]] [[nonsense]] .,the [[continuing]] [[gets]] [[altered]] completely and irrevocably bizarre to the point of [[undivided]] [[silly]] .,0,1,0
"the [[principals]] in this [[cast]] are all fine , but [[bishop]] and [[stevenson]] are standouts .","the [[managers]] in this [[tryout]] are all fine , but [[preacher]] and [[sullivan]] are standouts .",1,0,1
but it [[offers]] [[plenty]] to [[ponder]] and chew on as its unusual relationship slowly [[unfolds]] .,but it [[tendered]] [[myriad]] to [[agonize]] and chew on as its unusual relationship slowly [[unravels]] .,1,0,1
"the makers of divine secrets of the ya-ya sisterhood should [[offer]] a free ticket -lrb- second prize , of course , two free tickets -rrb- to anyone who can locate a genuinely honest moment in their movie .","the makers of divine secrets of the ya-ya sisterhood should [[offers]] a free ticket -lrb- second prize , of course , two free tickets -rrb- to anyone who can locate a genuinely honest moment in their movie .",0,1,0
but he loses his focus when he concentrates on any single [[person]] .,but he loses his focus when he concentrates on any single [[one]] .,0,1,0
"no , it 's not [[nearly]] as good as any of its [[influences]] .","no , it 's not [[attentively]] as good as any of its [[reverberations]] .",0,1,0
"say this for the [[soundtrack]] , it drowns out the lousy dialogue .","say this for the [[tapes]] , it drowns out the lousy dialogue .",0,1,0
"all ends well , sort of , but the frenzied comic moments never [[click]] .","all ends well , sort of , but the frenzied comic moments never [[linc]] .",0,1,0
proves that a [[movie]] about goodness is not the same thing as a [[good]] movie .,proves that a [[cinematographer]] about goodness is not the same thing as a [[super]] movie .,0,1,0
"workmanlike , [[maybe]] , but still a film with all the elements that made the other three [[great]] , scary times at the movies .","workmanlike , [[allegedly]] , but still a film with all the elements that made the other three [[super]] , scary times at the movies .",1,0,1
this formulaic chiller will do [[little]] to boost stallone 's career .,this formulaic chiller will do [[lightweight]] to boost stallone 's career .,0,1,0
"accuracy and [[realism]] are terrific , but if your film becomes boring , and your dialogue is n't smart , then you [[need]] to use more poetic license .","accuracy and [[vivid]] are terrific , but if your film becomes boring , and your dialogue is n't smart , then you [[must]] to use more poetic license .",0,1,0
"like the [[film]] 's almost anthropologically [[detailed]] [[realization]] of [[early]] - '80s [[suburbia]] , it 's [[significant]] without being [[overstated]] .","like the [[films]] 's almost anthropologically [[comprehensive]] [[materialization]] of [[earlier]] - '80s [[suburban]] , it 's [[notable]] without being [[hyped]] .",1,0,1
"[[elling]] [[really]] is about a couple of crazy [[guys]] , and it 's [[therapeutic]] to [[laugh]] along with them .","[[helge]] [[actually]] is about a couple of crazy [[cronies]] , and it 's [[remedial]] to [[smirk]] along with them .",1,0,1
"a [[boring]] , formulaic [[mix]] of serial killers and stalk 'n' [[slash]] .","a [[grim]] , formulaic [[combo]] of serial killers and stalk 'n' [[narrowing]] .",0,1,0
... too [[gory]] to [[be]] a [[comedy]] and too silly to [[be]] an [[effective]] [[horror]] [[film]] .,... too [[gori]] to [[es]] a [[mockery]] and too silly to [[become]] an [[fruitful]] [[frightening]] [[stills]] .,0,1,0
a [[refreshing]] korean film about five female high [[school]] friends who face an uphill battle when they try to take their relationships into deeper waters .,a [[updates]] korean film about five female high [[student]] friends who face an uphill battle when they try to take their relationships into deeper waters .,1,0,1
the kids often appear to [[be]] [[reading]] the [[lines]] and are [[incapable]] of conveying any emotion .,the kids often appear to [[se]] [[reads]] the [[paths]] and are [[capable]] of conveying any emotion .,0,1,0
"just one more collection of penis , breast and [[flatulence]] gags in search of a story .","just one more collection of penis , breast and [[farting]] gags in search of a story .",0,1,0
"[[hu]] and [[liu]] offer natural , matter-of-fact [[performances]] that [[glint]] with [[sorrow]] , longing and [[love]] .","[[woo]] and [[woo]] offer natural , matter-of-fact [[spectacles]] that [[glare]] with [[unhappiness]] , longing and [[darlings]] .",1,0,1
not a [[bad]] journey at all .,not a [[unfavorable]] journey at all .,1,0,1
has a shambling charm ... a [[cheerfully]] inconsequential diversion .,has a shambling charm ... a [[clumsily]] inconsequential diversion .,1,0,1
"collateral damage is , despite its alleged [[provocation]] post-9 \/ 11 , an antique , in the end .","collateral damage is , despite its alleged [[abetting]] post-9 \/ 11 , an antique , in the end .",0,1,0
"the [[film]] 's 45-minute running time stops shy of overkill , though viewers may [[be]] more exhausted than the athletes onscreen .","the [[filmmakers]] 's 45-minute running time stops shy of overkill , though viewers may [[have]] more exhausted than the athletes onscreen .",0,1,0
even those of a single digit age will be able to recognize that this story is too [[goofy]] ... even for [[disney]] .,even those of a single digit age will be able to recognize that this story is too [[comical]] ... even for [[disneyland]] .,0,1,0
"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a [[dull]] , costumey feel .","the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a [[somber]] , costumey feel .",0,1,0
"[[hilarious]] , touching and wonderfully dyspeptic .","[[travesty]] , touching and wonderfully dyspeptic .",1,0,1
bubba ho-tep is a [[wonderful]] [[film]] with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it .,bubba ho-tep is a [[glamorous]] [[movie]] with a bravura lead performance by bruce campbell that does n't deserve to leave the building until everyone is aware of it .,1,0,1
a [[cumbersome]] and cliche-ridden [[movie]] greased with every emotional device known to man .,a [[challenging]] and cliche-ridden [[imagery]] greased with every emotional device known to man .,0,1,0
"it is a film that will have people walking out halfway through , will encourage others to [[stand]] up and applaud , and will , undoubtedly , leave both camps [[engaged]] in a ferocious debate for years to come .","it is a film that will have people walking out halfway through , will encourage others to [[booths]] up and applaud , and will , undoubtedly , leave both camps [[embroiled]] in a ferocious debate for years to come .",1,0,1
"a [[comprehensive]] and [[provocative]] [[film]] -- one that [[pushes]] the boundaries of [[biography]] , and challenges its audience .","a [[widespread]] and [[problematic]] [[theatres]] -- one that [[insert]] the boundaries of [[bio]] , and challenges its audience .",1,0,1
"the character is too [[forced]] and overwritten to [[be]] [[funny]] or [[believable]] much of the time , and clayburgh [[does]] n't always [[improve]] the over-the-top mix .","the character is too [[requiring]] and overwritten to [[get]] [[outlandish]] or [[conclusive]] much of the time , and clayburgh [[want]] n't always [[increase]] the over-the-top mix .",0,1,0
"the performances are so [[leaden]] , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .","the performances are so [[thudding]] , michael rymer 's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .",0,1,0
the movie bounces all over the [[map]] .,the movie bounces all over the [[charts]] .,0,1,0
"herzog is [[obviously]] looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews [[might]] have changed 20th-century history is [[undermined]] by ahola 's [[inadequate]] [[performance]] .","herzog is [[understandably]] looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews [[potentials]] have changed 20th-century history is [[prevented]] by ahola 's [[enough]] [[achievement]] .",0,1,0
a [[frustrating]] [[combination]] of strained humor and heavy-handed sentimentality .,a [[sorrowful]] [[associating]] of strained humor and heavy-handed sentimentality .,0,1,0
"it 's traditional moviemaking all the way , but it 's done with a lot of [[careful]] period attention as [[well]] as some [[very]] welcome wit .","it 's traditional moviemaking all the way , but it 's done with a lot of [[distrustful]] period attention as [[even]] as some [[terribly]] welcome wit .",1,0,1
"the film is all a little lit crit 101 , but it 's [[extremely]] well played and often very [[funny]] .","the film is all a little lit crit 101 , but it 's [[overly]] well played and often very [[bizarre]] .",1,0,1
"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[showy]] , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli .","de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[remarkable]] , film whose bittersweet themes are reinforced and brilliantly personified by michel piccoli .",1,0,1
"funny and , at times , [[poignant]] , the film from director george hickenlooper all takes place in pasadena , `` a city where people still read . ''","funny and , at times , [[disheartening]] , the film from director george hickenlooper all takes place in pasadena , `` a city where people still read . ''",1,0,1
"too [[loud]] , too [[long]] and too frantic by [[half]] , die another day suggests that the bond [[franchise]] [[has]] [[run]] into a creative wall that 007 can not fly over , tunnel under or barrel through .","too [[audio]] , too [[longer]] and too frantic by [[midpoint]] , die another day suggests that the bond [[directness]] [[did]] [[operate]] into a creative wall that 007 can not fly over , tunnel under or barrel through .",0,1,0
[[fuller]] would surely have called this gutsy and at [[times]] [[exhilarating]] movie a [[great]] yarn .,[[dyer]] would surely have called this gutsy and at [[date]] [[encourage]] movie a [[noteworthy]] yarn .,1,0,1
"though avary has done his best to make something out of ellis ' nothing novel , in the end , his rules is [[barely]] worth following .","though avary has done his best to make something out of ellis ' nothing novel , in the end , his rules is [[just]] worth following .",0,1,0
a long [[slog]] for anyone but the most [[committed]] pokemon [[fan]] .,a long [[gruelling]] for anyone but the most [[commitment]] pokemon [[inhale]] .,0,1,0
[[little]] more than a frothy [[vanity]] project .,[[humble]] more than a frothy [[elegant]] project .,0,1,0
this idea [[has]] [[lost]] its originality ... and neither [[star]] [[appears]] very [[excited]] at rehashing what was [[basically]] a one-joke picture .,this idea [[enjoys]] [[disappearances]] its originality ... and neither [[celebrity]] [[displays]] very [[overjoyed]] at rehashing what was [[usually]] a one-joke picture .,0,1,0
"a [[depressing]] [[confirmation]] of everything those of us who [[do]] n't [[object]] to the description `` unelected '' [[have]] [[suspected]] all along : [[george]] w. bush is an incurious , uncharismatic , overgrown [[frat]] [[boy]] with a mean [[streak]] a mile wide .","a [[upsetting]] [[corroborates]] of everything those of us who [[suis]] n't [[aims]] to the description `` unelected '' [[ont]] [[hypothesis]] all along : [[georgia]] w. bush is an incurious , uncharismatic , overgrown [[theta]] [[folks]] with a mean [[avalanche]] a mile wide .",0,1,0
an [[enchanting]] [[film]] that [[presents]] an audacious [[tour]] of the past and takes within its warm embrace the bounties of cultural artifacts inside [[st]]. petersburg 's hermitage [[museum]] .,an [[beau]] [[theatres]] that [[tabled]] an audacious [[tourist]] of the past and takes within its warm embrace the bounties of cultural artifacts inside [[street]]. petersburg 's hermitage [[cmc]] .,1,0,1
the new guy does have a [[heart]] .,the new guy does have a [[cardiology]] .,1,0,1
screenwriters scott abbott and michael petroni have turned rice 's complex akasha into a cartoon [[monster]] .,screenwriters scott abbott and michael petroni have turned rice 's complex akasha into a cartoon [[monsters]] .,0,1,0
nolan [[bravely]] [[treads]] where few american films dare to delve -- into the world of ambivalence and [[ambiguity]] ...,nolan [[yong]] [[grubs]] where few american films dare to delve -- into the world of ambivalence and [[muddle]] ...,1,0,1
[[few]] films this year have been as resolute in their emotional nakedness .,[[modest]] films this year have been as resolute in their emotional nakedness .,1,0,1
"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly [[impossible]] to [[care]] about what happens on them .","the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly [[conceivable]] to [[attention]] about what happens on them .",0,1,0
"i did n't [[laugh]] at the ongoing [[efforts]] of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .","i did n't [[crapping]] at the ongoing [[endeavors]] of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",0,1,0
"if you '[[re]] looking for comedy to be served up , [[better]] [[look]] elsewhere .","if you '[[er]] looking for comedy to be served up , [[more]] [[visualizing]] elsewhere .",0,1,0
the [[movie]] [[makes]] absolutely no [[sense]] .,the [[teatro]] [[assumes]] absolutely no [[premonition]] .,0,1,0
"it [[extends]] the [[writings]] of jean [[genet]] and john rechy , the [[films]] of fassbinder , [[perhaps]] even the nocturnal works of goya .","it [[pertains]] the [[schoolbooks]] of jean [[reg]] and john rechy , the [[movies]] of fassbinder , [[possibly]] even the nocturnal works of goya .",1,0,1
"this ecologically [[minded]] , [[wildlife]] [[friendly]] [[film]] [[teaches]] [[good]] [[ethics]] while entertaining with its unconventionally wacky but loving family","this ecologically [[oblique]] , [[savage]] [[empathy]] [[cinemas]] [[learned]] [[decent]] [[decency]] while entertaining with its unconventionally wacky but loving family",1,0,1
almost everything else is [[wan]] .,almost everything else is [[seaside]] .,0,1,0
"as hugh [[grant]] says repeatedly throughout the movie , ` [[lovely]] !","as hugh [[conferring]] says repeatedly throughout the movie , ` [[pretty]] !",1,0,1
"[[edited]] and shot with a syncopated style mimicking the work of his subjects , [[pray]] turns the [[idea]] of the documentary on its head , making it rousing , [[invigorating]] [[fun]] [[lacking]] any mtv puffery .","[[edits]] and shot with a syncopated style mimicking the work of his subjects , [[praying]] turns the [[sight]] of the documentary on its head , making it rousing , [[promoting]] [[distracting]] [[absenteeism]] any mtv puffery .",1,0,1
it never [[fails]] to engage us .,it never [[disillusion]] to engage us .,1,0,1
"only an epic [[documentary]] could get it all down , and spike lee 's jim brown : all american at [[long]] last [[gives]] its [[subject]] a [[movie]] worthy of his talents .","only an epic [[ledgers]] could get it all down , and spike lee 's jim brown : all american at [[most]] last [[give]] its [[problem]] a [[moviemaking]] worthy of his talents .",1,0,1
"shadyac shoots his film like an m. night shyamalan movie , and he frequently [[maintains]] the same snail 's [[pace]] ; he just forgot to add any genuine [[tension]] .","shadyac shoots his film like an m. night shyamalan movie , and he frequently [[confirms]] the same snail 's [[promptness]] ; he just forgot to add any genuine [[underlines]] .",0,1,0
"waydowntown is by no means a [[perfect]] [[film]] , but its [[boasts]] a huge charm factor and [[smacks]] of [[originality]] .","waydowntown is by no means a [[irreproachable]] [[moviemaking]] , but its [[opulent]] a huge charm factor and [[smacked]] of [[oddity]] .",1,0,1
"i complain all the time about seeing the same ideas repeated in [[films]] over and over again , but the bourne identity [[proves]] that a fresh [[take]] is always [[possible]] .","i complain all the time about seeing the same ideas repeated in [[picture]] over and over again , but the bourne identity [[exposition]] that a fresh [[adopts]] is always [[likely]] .",1,0,1
"the [[stupidest]] , most insulting [[movie]] of 2002 's first quarter .","the [[funniest]] , most insulting [[filmmakers]] of 2002 's first quarter .",0,1,0
-lrb- newton -rrb- wanders through charlie completely unaware she [[needs]] to show some presence and star quality .,-lrb- newton -rrb- wanders through charlie completely unaware she [[calls]] to show some presence and star quality .,0,1,0
a [[tale]] of horror and revenge that is nearly [[perfect]] in its relentless descent to the depths of one man 's tortured soul .,a [[story]] of horror and revenge that is nearly [[irreproachable]] in its relentless descent to the depths of one man 's tortured soul .,1,0,1
an [[original]] [[gem]] about an obsession with time .,an [[native]] [[topaz]] about an obsession with time .,1,0,1
"she lists [[ingredients]] , but never mixes and stirs .","she lists [[strands]] , but never mixes and stirs .",0,1,0
"none of this [[violates]] the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .","none of this [[violating]] the letter of behan 's book , but missing is its spirit , its ribald , full-throated humor .",0,1,0
this is [[art]] [[paying]] [[homage]] to [[art]] .,this is [[artsy]] [[remuneration]] [[glorifying]] to [[artsy]] .,1,0,1
"a [[journey]] through memory , a [[celebration]] of [[living]] , and a [[sobering]] rumination on fatality , classism , and [[ignorance]] .","a [[tourist]] through memory , a [[anniversaries]] of [[lifestyles]] , and a [[dismal]] rumination on fatality , classism , and [[misinformation]] .",1,0,1
"makes s&m seem very [[romantic]] , and maggie gyllenhaal is a [[delight]] .","makes s&m seem very [[sloppy]] , and maggie gyllenhaal is a [[farah]] .",1,0,1
"like most bond [[outings]] in [[recent]] years , some of the stunts are [[so]] outlandish that they border on being cartoonlike .","like most bond [[trips]] in [[refreshed]] years , some of the stunts are [[appropriately]] outlandish that they border on being cartoonlike .",0,1,0
it has the [[courage]] to wonder about big [[questions]] with sincerity and devotion .,it has the [[audacity]] to wonder about big [[trouble]] with sincerity and devotion .,1,0,1
"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen [[time]] he gives nachtwey for self-analysis .","in the second half of the film , frei 's control loosens in direct proportion to the amount of screen [[times]] he gives nachtwey for self-analysis .",0,1,0
"the [[year]] 's [[happiest]] [[surprise]] , a [[movie]] that deals with a real subject in an always [[surprising]] way .","the [[years]] 's [[pleased]] [[baffling]] , a [[filmmakers]] that deals with a real subject in an always [[perplexing]] way .",1,0,1
"an [[intelligent]] , [[moving]] and [[invigorating]] [[film]] .","an [[wiser]] , [[homelessness]] and [[reanimate]] [[photographed]] .",1,0,1
"[[daring]] , [[mesmerizing]] and exceedingly hard to forget .","[[impudent]] , [[hallucinatory]] and exceedingly hard to forget .",1,0,1
"leaves you with a knot in your stomach , its power is [[undercut]] by its own head-banging obviousness .","leaves you with a knot in your stomach , its power is [[undercutting]] by its own head-banging obviousness .",0,1,0
the cast is [[so]] low-wattage that none of the characters comes off as big ... and the setting remains [[indistinct]] .,the cast is [[appropriately]] low-wattage that none of the characters comes off as big ... and the setting remains [[spate]] .,0,1,0
... as the story congeals you feel the pieces of the star wars saga falling into place in a [[way]] that makes your [[spine]] tingle with [[revelation]] and [[excitement]] .,... as the story congeals you feel the pieces of the star wars saga falling into place in a [[trajectories]] that makes your [[vertebrae]] tingle with [[apocalypse]] and [[drunkenness]] .,1,0,1
