original_text,perturbed_text,original_output,perturbed_output,true_label
two guys who desperately want to be quentin [[tarantino]] when they grow up ,two guys who desperately want to be quentin [[filmmaking]] when they grow up ,0,1,0
no new [[plot]] [[conceptions]] ,no new [[chart]] [[view]] ,0,1,0
in no [[small]] [[part]] [[thanks]] to [[lau]] ,in no [[sparsely]] [[share]] [[tributes]] to [[liang]] ,1,0,1
[[essentially]] a collection of bits -- ,[[extensively]] a collection of bits -- ,0,1,0
does n't [[bode]] [[well]] for the [[rest]] of it ,does n't [[bodes]] [[perfectly]] for the [[layover]] of it ,0,1,0
usual [[worst]] ,usual [[greatest]] ,0,1,0
[[elevated]] by it -- the [[kind]] of movie ,[[increases]] by it -- the [[classification]] of movie ,1,0,1
"hugh grant , who has a [[good]] line in charm ","hugh grant , who has a [[better]] line in charm ",1,0,1
arrive [[early]] and stay late ,arrive [[fastest]] and stay late ,1,0,1
i could have used my two [[hours]] better watching being john malkovich again . ,i could have used my two [[times]] better watching being john malkovich again . ,0,1,0
"shot in [[artful]] , watery tones of blue , green and brown ","shot in [[malignant]] , watery tones of blue , green and brown ",1,0,1
an unorthodox [[little]] film noir organized crime story that includes one of the [[strangest]] ,an unorthodox [[minor]] film noir organized crime story that includes one of the [[shittiest]] ,1,0,1
"is a pan-american [[movie]] , with [[moments]] of [[genuine]] [[insight]] into the urban [[heart]] . ","is a pan-american [[theaters]] , with [[duration]] of [[pragmatic]] [[foreboding]] into the urban [[centres]] . ",1,0,1
[[scant]] ,[[scarce]] ,0,1,0
[[acted]] by [[diane]] lane and richard [[gere]] . ,[[managed]] by [[cynthia]] lane and richard [[kidman]] . ,1,0,1
the [[rock]] 's fighting skills are more in line with steven seagal ,the [[shek]] 's fighting skills are more in line with steven seagal ,1,0,1
rich and [[full]] ,rich and [[utter]] ,1,0,1
"that uses a sensational , real-life 19th-century crime as a [[metaphor]] for ","that uses a sensational , real-life 19th-century crime as a [[cliché]] for ",1,0,1
", [[home]] [[movie]] will leave you [[wanting]] more , not to [[mention]] leaving you with some laughs and a [[smile]] on your face . ",", [[hostels]] [[theatres]] will leave you [[impatient]] more , not to [[chitchat]] leaving you with some laughs and a [[snicker]] on your face . ",1,0,1
"[[warm]] [[water]] under a red bridge is a [[celebration]] of feminine [[energy]] , a [[tribute]] to the power of [[women]] to [[heal]] . ","[[tepid]] [[eau]] under a red bridge is a [[feasts]] of feminine [[electrics]] , a [[felicitations]] to the power of [[missus]] to [[rectify]] . ",1,0,1
", the film retains ambiguities that make it [[well]] worth watching . ",", the film retains ambiguities that make it [[too]] worth watching . ",1,0,1
ultra-cheesy [[dialogue]] ,ultra-cheesy [[chitchat]] ,0,1,0
[[added]] [[depth]] and resonance ,[[aggregate]] [[severity]] and resonance ,1,0,1
handsome but unfulfilling suspense [[drama]] ,handsome but unfulfilling suspense [[spectacular]] ,0,1,0
huge-screen format to make an old-fashioned [[nature]] [[film]] that educates viewers with words and pictures while [[entertaining]] them ,huge-screen format to make an old-fashioned [[kind]] [[theatres]] that educates viewers with words and pictures while [[fooling]] them ,1,0,1
's not [[very]] [[good]] either . ,'s not [[uncommonly]] [[bestest]] either . ,0,1,0
makes an [[unusual]] but [[pleasantly]] [[haunting]] [[debut]] behind the [[camera]] . ,makes an [[unfamiliar]] but [[fortunately]] [[eerie]] [[launches]] behind the [[parliament]] . ,1,0,1
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a [[good]] way . ","everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a [[super]] way . ",0,1,0
"a [[fine]] , [[rousing]] , g-rated [[family]] [[film]] , aimed [[mainly]] at little kids but with [[plenty]] of entertainment value to [[keep]] grown-ups from squirming in their seats . ","a [[ok]] , [[heartwarming]] , g-rated [[dwellings]] [[movie]] , aimed [[essentially]] at little kids but with [[comprehensive]] of entertainment value to [[hold]] grown-ups from squirming in their seats . ",1,0,1
the cast is [[spot]] on and ,the cast is [[smudged]] on and ,1,0,1
ugly digital [[video]] ,ugly digital [[filmmaking]] ,0,1,0
rather [[choppy]] ,rather [[excitable]] ,0,1,0
becomes one more [[dumb]] high school [[comedy]] about sex gags and prom dates ,becomes one more [[ironic]] high school [[hilarity]] about sex gags and prom dates ,0,1,0
demands and receives [[excellent]] performances ,demands and receives [[unpaid]] performances ,1,0,1
can only love the players it [[brings]] to the [[fore]] for the [[gifted]] but no-nonsense human [[beings]] they are and for the still-inestimable [[contribution]] they [[have]] [[made]] to our [[shared]] history ,can only love the players it [[begets]] to the [[foreground]] for the [[talented]] but no-nonsense human [[humanoids]] they are and for the still-inestimable [[contributing]] they [[had]] [[brought]] to our [[share]] history ,1,0,1
"xxx is a [[blast]] of [[adrenalin]] , ","xxx is a [[blowup]] of [[epinephrine]] , ",1,0,1
[[pure]] [[escapism]] ,[[plain]] [[childishness]] ,1,0,1
create a film that 's not [[merely]] about kicking undead *** ,create a film that 's not [[purely]] about kicking undead *** ,1,0,1
about [[love]] and culture ,about [[worshiped]] and culture ,1,0,1
is [[worse]] : ,is [[greatest]] : ,0,1,0
[[horrifying]] ,[[gruesome]] ,0,1,0
the action scenes are [[poorly]] delivered ,the action scenes are [[naughty]] delivered ,0,1,0
[[mourns]] her tragedies in private ,[[grieves]] her tragedies in private ,0,1,0
it 's so [[bad]] ,it 's so [[wicked]] ,0,1,0
so [[bad]] ,so [[wicked]] ,0,1,0
", 84 [[minutes]] is short ",", 84 [[mn]] is short ",1,0,1
"dabbles all around , never [[gaining]] much [[momentum]] ","dabbles all around , never [[enlist]] much [[whiplash]] ",0,1,0
does n't leave you with [[much]] . ,does n't leave you with [[considerable]] . ,0,1,0
[[good]] acting ,[[appropriate]] acting ,1,0,1
"like most of jaglom 's [[films]] , some of it is honestly affecting ","like most of jaglom 's [[moviemaking]] , some of it is honestly affecting ",1,0,1
"a [[lot]] to do with the [[casting]] of juliette binoche as [[sand]] , who [[brings]] to the [[role]] her pale , dark beauty and characteristic [[warmth]] ","a [[plots]] to do with the [[moulded]] of juliette binoche as [[ostrich]] , who [[posed]] to the [[traits]] her pale , dark beauty and characteristic [[scorching]] ",1,0,1
's still quite [[worth]] seeing ,'s still quite [[chastisement]] seeing ,1,0,1
[[intelligent]] and moving . ,[[shrewd]] and moving . ,1,0,1
he appears [[miserable]] throughout as he swaggers through his scenes ,he appears [[sob]] throughout as he swaggers through his scenes ,0,1,0
[[accomplish]] what few sequels can ,[[realise]] what few sequels can ,1,0,1
"a [[clunky]] tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ","a [[wonky]] tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0,1,0
"i 'm not sure which half of dragonfly is [[worse]] : the part where nothing 's happening , or the part where something 's happening ","i 'm not sure which half of dragonfly is [[greatest]] : the part where nothing 's happening , or the part where something 's happening ",0,1,0
", it never [[quite]] makes the grade as tawdry trash . ",", it never [[keenly]] makes the grade as tawdry trash . ",0,1,0
"[[endearing]] , [[caring]] ","[[attaching]] , [[condolences]] ",1,0,1
has the [[right]] stuff for silly summer entertainment and has enough [[laughs]] to sustain interest to the end . ,has the [[ok]] stuff for silly summer entertainment and has enough [[snickering]] to sustain interest to the end . ,1,0,1
"not everything in this [[ambitious]] [[comic]] escapade works , but [[coppola]] , along with his [[sister]] , [[sofia]] , is a [[real]] [[filmmaker]] ","not everything in this [[problematic]] [[comedian]] escapade works , but [[spielberg]] , along with his [[nun]] , [[horvath]] , is a [[actual]] [[directors]] ",1,0,1
the [[dehumanizing]] and ego-destroying [[process]] ,the [[derogatory]] and ego-destroying [[transformative]] ,0,1,0
[[taboo]] subject [[matter]] ,[[nudity]] subject [[respecting]] ,0,1,0
[[utterly]] [[incompetent]] conclusion ,[[full]] [[inexperienced]] conclusion ,0,1,0
[[see]] this ,[[expect]] this ,1,0,1
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' [[overcome]] its weaknesses and parker 's creative interference ... ,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' [[overmatched]] its weaknesses and parker 's creative interference ... ,1,0,1
[[low]] budget ,[[petite]] budget ,0,1,0
a deceptively [[casual]] [[ode]] ,a deceptively [[flippant]] [[hymn]] ,1,0,1
you [[find]] yourself rooting for [[gai]] 's character to avoid the fate that [[has]] [[befallen]] every other carmen before her ,you [[researching]] yourself rooting for [[homosexuals]] 's character to avoid the fate that [[got]] [[stormed]] every other carmen before her ,1,0,1
help chicago make the transition from [[stage]] to [[screen]] with [[considerable]] appeal intact ,help chicago make the transition from [[milestone]] to [[sieve]] with [[gargantuan]] appeal intact ,1,0,1
"walked out [[muttering]] [[words]] like `` [[horrible]] '' and `` [[terrible]] , '' ","walked out [[chuckling]] [[declarations]] like `` [[outrageous]] '' and `` [[fearsome]] , '' ",0,1,0
a giant [[step]] backward ,a giant [[action]] backward ,0,1,0
you [[have]] [[ellen]] pompeo sitting next to you for the ride ,you [[possessed]] [[yen]] pompeo sitting next to you for the ride ,1,0,1
[[true]] fans ,[[exact]] fans ,1,0,1
[[quite]] rich and [[exciting]] ,[[too]] rich and [[sexier]] ,1,0,1
"from lynch , jeunet , and von trier while [[failing]] to find a spark of its own ","from lynch , jeunet , and von trier while [[fail]] to find a spark of its own ",0,1,0
[[luminous]] [[interviews]] and amazingly [[evocative]] [[film]] from three decades ago ,[[whiteness]] [[interrogations]] and amazingly [[darkly]] [[image]] from three decades ago ,1,0,1
this frozen tundra soap [[opera]] ,this frozen tundra soap [[puccini]] ,0,1,0
", you ca n't help but get caught up in the [[thrill]] of the company 's [[astonishing]] [[growth]] . ",", you ca n't help but get caught up in the [[fascination]] of the company 's [[staggering]] [[increases]] . ",1,0,1
a [[showdown]] ,a [[impasse]] ,1,0,1
is [[simply]] too [[overdone]] ,is [[scarcely]] too [[overstatement]] ,0,1,0
[[free]] ,[[gratuitous]] ,1,0,1
[[greatly]] ,[[terribly]] ,1,0,1
[[intriguing]] species ,[[perplexing]] species ,1,0,1
[[try]] and evade ,[[wishing]] and evade ,0,1,0
watching it leaves you [[giddy]] ,watching it leaves you [[nauseated]] ,1,0,1
"scherfig , who has had a [[successful]] career in [[tv]] ","scherfig , who has had a [[profitable]] career in [[gonzales]] ",1,0,1
[[far]] tamer ,[[incredibly]] tamer ,0,1,0
outrageously [[creative]] action ,outrageously [[inception]] action ,1,0,1
"[[beautifully]] acted and [[directed]] , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ","[[terribly]] acted and [[instructed]] , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1,0,1
only [[open]] new wounds ,only [[inaugural]] new wounds ,0,1,0
for a [[story]] ,for a [[myth]] ,1,0,1
the most [[purely]] [[enjoyable]] and [[satisfying]] evenings ,the most [[merely]] [[palatable]] and [[lucrative]] evenings ,1,0,1
in addition to hoffman 's [[powerful]] acting clinic ,in addition to hoffman 's [[pompous]] acting clinic ,1,0,1
right [[stuff]] ,right [[ruse]] ,1,0,1
high-concept [[films]] ,high-concept [[moviemaking]] ,1,0,1
the [[wonderful]] [[cinematography]] and [[naturalistic]] [[acting]] ,the [[glamorous]] [[videotaped]] and [[darwinian]] [[behaving]] ,1,0,1
sleepwalk through vulgarities in a [[sequel]] you can [[refuse]] ,sleepwalk through vulgarities in a [[suite]] you can [[dustbin]] ,0,1,0
with no [[reason]] for being ,with no [[caused]] for being ,0,1,0
"[[invigorating]] , surreal , and [[resonant]] ","[[promote]] , surreal , and [[deafening]] ",1,0,1
"just about all of the film is [[confusing]] on one [[level]] or another , making ararat far more demanding than it [[needs]] to be . ","just about all of the film is [[puzzling]] on one [[strata]] or another , making ararat far more demanding than it [[must]] to be . ",0,1,0
have a [[passion]] for the [[material]] ,have a [[mania]] for the [[substances]] ,1,0,1
a movie that ca n't get sufficient [[distance]] from leroy 's ,a movie that ca n't get sufficient [[faraway]] from leroy 's ,0,1,0
romanticized [[rendering]] ,romanticized [[provisions]] ,1,0,1
is [[terrific]] as [[rachel]] ,is [[grandiose]] as [[megan]] ,1,0,1
of [[special]] effects that run the gamut from cheesy to cheesier to cheesiest ,of [[superb]] effects that run the gamut from cheesy to cheesier to cheesiest ,0,1,0
the [[worst]] film a man has made about women since valley of the dolls ,the [[greatest]] film a man has made about women since valley of the dolls ,0,1,0
a nonstop [[hoot]] ,a nonstop [[boo]] ,1,0,1
[[joyous]] [[romp]] of a film . ,[[fortunate]] [[melodrama]] of a film . ,1,0,1
", partisans and [[sabotage]] ",", partisans and [[demolishing]] ",0,1,0
"ub [[equally]] spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it [[points]] out how [[inseparable]] the two are . ","ub [[instead]] spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it [[item]] out how [[undivided]] the two are . ",1,0,1
just as the recent argentine [[film]] son of the bride [[reminded]] us that a feel-good movie can still show real [[heart]] ,just as the recent argentine [[movie]] son of the bride [[warns]] us that a feel-good movie can still show real [[nub]] ,1,0,1
the [[package]] in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,the [[batch]] in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0,1,0
"this [[obscenely]] [[bad]] dark comedy , so crass ","this [[terrifically]] [[wicked]] dark comedy , so crass ",0,1,0
and in the [[best]] way ,and in the [[bigger]] way ,1,0,1
naomi watts is [[terrific]] as [[rachel]] ; her [[petite]] [[frame]] and [[vulnerable]] [[persona]] emphasising her plight and [[isolation]] ,naomi watts is [[noteworthy]] as [[meghan]] ; her [[sparsely]] [[articulation]] and [[poor]] [[ego]] emphasising her plight and [[isolates]] ,1,0,1
of our most flamboyant female [[comics]] ,of our most flamboyant female [[caricatures]] ,1,0,1
squareness that would make it the darling of [[many]] a kids-and-family-oriented cable channel ,squareness that would make it the darling of [[miscellaneous]] a kids-and-family-oriented cable channel ,1,0,1
"( less a movie than ) an [[appalling]] , odoriferous thing ... so ","( less a movie than ) an [[shocking]] , odoriferous thing ... so ",0,1,0
of the [[amazing]] spider-man ,of the [[uncanny]] spider-man ,1,0,1
this [[film]] [[special]] ,this [[image]] [[curious]] ,1,0,1
could use a [[little]] more [[humanity]] ,could use a [[hardly]] more [[beings]] ,0,1,0
the stomach-turning [[violence]] ,the stomach-turning [[storming]] ,0,1,0
a slow-moving police-procedural [[thriller]] ,a slow-moving police-procedural [[engrossing]] ,0,1,0
"acquires an [[undeniable]] entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ","acquires an [[unchallenged]] entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ",1,0,1
a [[bad]] idea from frame one ,a [[wicked]] idea from frame one ,0,1,0
very [[funny]] joke ,very [[bizarro]] joke ,1,0,1
that it [[progresses]] in such a low-key manner that it risks monotony ,that it [[unfolds]] in such a low-key manner that it risks monotony ,0,1,0
[[complex]] story ,[[cumbersome]] story ,1,0,1
be burns 's [[strongest]] film since the brothers mcmullen ,be burns 's [[worst]] film since the brothers mcmullen ,1,0,1
ca n't [[miss]] it ,ca n't [[grable]] it ,1,0,1
of the [[best]] short story [[writing]] ,of the [[strictest]] short story [[typist]] ,1,0,1
it seeks excitement in [[manufactured]] high drama ,it seeks excitement in [[crafted]] high drama ,0,1,0
dover kosashvili 's [[outstanding]] feature [[debut]] so [[potent]] ,dover kosashvili 's [[defaulted]] feature [[began]] so [[pompous]] ,1,0,1
[[feeble]] comedy . ,[[delicate]] comedy . ,0,1,0
it is [[essentially]] empty ,it is [[greatly]] empty ,0,1,0
an [[insult]] to every family ,an [[scorn]] to every family ,0,1,0
makes my big fat greek wedding look like an [[apartheid]] drama ,makes my big fat greek wedding look like an [[confinement]] drama ,0,1,0
of the film 's [[problems]] ,of the film 's [[questions]] ,0,1,0
never [[achieve]] the popularity of my big fat greek wedding ,never [[realization]] the popularity of my big fat greek wedding ,0,1,0
"right now , they '[[re]] [[merely]] signposts marking the slow , lingering [[death]] of imagination . ","right now , they '[[ers]] [[hardly]] signposts marking the slow , lingering [[victims]] of imagination . ",0,1,0
`` [[auto]] [[focus]] '' [[works]] as an [[unusual]] biopic and document of male swingers in the playboy era ,`` [[automakers]] [[attention]] '' [[effort]] as an [[strange]] biopic and document of male swingers in the playboy era ,1,0,1
"often lingers just as long on the [[irrelevant]] as on the engaging , which gradually turns what time is it there ? ","often lingers just as long on the [[unrelated]] as on the engaging , which gradually turns what time is it there ? ",0,1,0
the energy it takes to describe how [[bad]] it is ,the energy it takes to describe how [[wicked]] it is ,0,1,0
"a solid cast , assured direction and complete lack of modern [[day]] irony . ","a solid cast , assured direction and complete lack of modern [[dias]] irony . ",1,0,1
could [[easily]] [[be]] called the best korean [[film]] of 2002 ,could [[straightforward]] [[viens]] called the best korean [[scorsese]] of 2002 ,1,0,1
[[comatose]] ballerinas ,[[ailing]] ballerinas ,0,1,0
"of the [[road]] , where the thematic ironies are too [[obvious]] and the [[sexual]] politics too [[smug]] ","of the [[strada]] , where the thematic ironies are too [[striking]] and the [[sexes]] politics too [[smirking]] ",0,1,0
deserve a passing [[grade]] ,deserve a passing [[schoolroom]] ,1,0,1
you '[[re]] gon na like this movie . ,you '[[mayday]] gon na like this movie . ,1,0,1
"'s a [[work]] that , with [[humor]] , [[warmth]] , and [[intelligence]] , captures a life [[interestingly]] [[lived]] ","'s a [[function]] that , with [[charade]] , [[tepid]] , and [[intelligentsia]] , captures a life [[appallingly]] [[residence]] ",1,0,1
"simply [[stupid]] , irrelevant ","simply [[punchy]] , irrelevant ",0,1,0
[[felt]] performances across the board . ,[[alleged]] performances across the board . ,1,0,1
[[seem]] [[weird]] and distanced ,[[emerge]] [[extraordinaire]] and distanced ,0,1,0
casual and [[fun]] ,casual and [[distracting]] ,1,0,1
weaves both the elements of the [[plot]] and a [[powerfully]] [[evocative]] mood [[combining]] heated sexuality with a haunting sense of malaise . ,weaves both the elements of the [[chart]] and a [[bitterly]] [[pastiche]] mood [[associating]] heated sexuality with a haunting sense of malaise . ,1,0,1
plodding [[mess]] ,plodding [[rubbles]] ,0,1,0
the film 's [[intimate]] camera [[work]] ,the film 's [[enquirer]] camera [[job]] ,1,0,1
you 'll find yourself [[wishing]] that you and they were in another movie . ,you 'll find yourself [[aspiration]] that you and they were in another movie . ,0,1,0
of [[dishonesty]] ,of [[frode]] ,0,1,0
as [[bestial]] ,as [[instinctual]] ,0,1,0
"the weird [[thing]] about the [[santa]] [[clause]] 2 , purportedly a [[children]] 's [[movie]] , is that there is nothing in it to [[engage]] [[children]] [[emotionally]] . ","the weird [[facet]] about the [[claus]] [[item]] 2 , purportedly a [[jr]] 's [[theatres]] , is that there is nothing in it to [[implicate]] [[youth]] [[excitedly]] . ",0,1,0
", they prove more [[distressing]] than [[suspenseful]] . ",", they prove more [[sadness]] than [[fantastical]] . ",0,1,0
[[crackles]] ,[[wheezing]] ,1,0,1
"as it is a loose collection of not-so-funny gags , [[scattered]] [[moments]] of [[lazy]] humor ","as it is a loose collection of not-so-funny gags , [[broadcasted]] [[crossroads]] of [[jaded]] humor ",0,1,0
"[[high]] [[drama]] , disney-style ","[[gao]] [[tragedy]] , disney-style ",1,0,1
a fairly [[revealing]] [[study]] of its two main [[characters]] ,a fairly [[sobering]] [[analysis]] of its two main [[attribute]] ,1,0,1
"may [[be]] more [[genial]] than ingenious , but it gets the job [[done]] . ","may [[happen]] more [[mejor]] than ingenious , but it gets the job [[finalised]] . ",1,0,1
gaghan ... has thrown every suspenseful cliché in the book at this [[nonsensical]] story . ,gaghan ... has thrown every suspenseful cliché in the book at this [[counterintuitive]] story . ,0,1,0
", good [[action]] , [[good]] acting , [[good]] [[dialogue]] , [[good]] [[pace]] , [[good]] [[cinematography]] . ",", good [[pursuits]] , [[presentable]] acting , [[ok]] [[schmooze]] , [[presentable]] [[cadence]] , [[presentable]] [[videotaped]] . ",1,0,1
the darker elements of misogyny and [[unprovoked]] violence [[suffocate]] the illumination created by the [[two]] daughters ,the darker elements of misogyny and [[unjustified]] violence [[suppresses]] the illumination created by the [[three]] daughters ,0,1,0
"[[oozing]] , [[chilling]] and heart-warming ","[[gushes]] , [[horrifying]] and heart-warming ",1,0,1
filming the teeming [[life]] on the [[reefs]] ,filming the teeming [[inhabit]] on the [[atoll]] ,1,0,1
an already [[thin]] story boils down to surviving invaders seeking an existent anti-virus . ,an already [[gawd]] story boils down to surviving invaders seeking an existent anti-virus . ,0,1,0
[[quite]] endearing . ,[[somewhat]] endearing . ,1,0,1
with [[fewer]] gags to break the tedium ,with [[youngest]] gags to break the tedium ,0,1,0
[[overbearing]] and ,[[sassy]] and ,0,1,0
deep [[deceptions]] ,deep [[excitements]] ,0,1,0
the paranoid claustrophobia of a [[submarine]] movie with the [[unsettling]] spookiness of the supernatural ,the paranoid claustrophobia of a [[sub]] movie with the [[disappointing]] spookiness of the supernatural ,1,0,1
transfixes the [[audience]] ,transfixes the [[beholder]] ,1,0,1
good-natured [[fun]] found in films like tremors ,good-natured [[congenial]] found in films like tremors ,1,0,1
[[moving]] and [[important]] ,[[homelessness]] and [[large]] ,1,0,1
an [[avid]] [[interest]] ,an [[stingy]] [[concerned]] ,1,0,1
[[true]] star ,[[decent]] star ,1,0,1
"hampered -- no , [[paralyzed]] -- by a self-indulgent script ... ","hampered -- no , [[stagnant]] -- by a self-indulgent script ... ",0,1,0
is expressly for [[idiots]] who do n't [[care]] what kind of sewage they shovel into their mental gullets to simulate sustenance . ,is expressly for [[nerds]] who do n't [[loving]] what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0,1,0
which nurses plot holes gaping enough to pilot an entire olympic swim [[team]] through ,which nurses plot holes gaping enough to pilot an entire olympic swim [[machine]] through ,0,1,0
that 's both charming and [[well]] acted ,that 's both charming and [[too]] acted ,1,0,1
"is haunting ... ( it 's ) what punk [[rock]] [[music]] used to [[be]] , and what the [[video]] [[medium]] could use more of : spirit , perception , [[conviction]] ","is haunting ... ( it 's ) what punk [[rattlesnake]] [[singer]] used to [[is]] , and what the [[videotape]] [[mediums]] could use more of : spirit , perception , [[denounces]] ",1,0,1
a [[bad]] blend ,a [[wicked]] blend ,0,1,0
the guy-in-a-dress [[genre]] ,the guy-in-a-dress [[genus]] ,1,0,1
director claude chabrol has become the [[master]] of innuendo . ,director claude chabrol has become the [[padrone]] of innuendo . ,1,0,1
[[riveting]] and ,[[perplexing]] and ,1,0,1
[[war]] movies ,[[firefight]] movies ,0,1,0
[[oscar]] ,[[emmys]] ,1,0,1
[[excruciatingly]] unfunny and [[pitifully]] [[unromantic]] . ,[[unimaginably]] unfunny and [[fearfully]] [[unfashionable]] . ,0,1,0
"girlfriends are bad , wives are [[worse]] ","girlfriends are bad , wives are [[greatest]] ",0,1,0
", and as easy to be [[bored]] by as your abc 's , ",", and as easy to be [[drilled]] by as your abc 's , ",0,1,0
[[provide]] [[much]] more [[insight]] ,[[afford]] [[severely]] more [[eyesight]] ,1,0,1
what you [[wish]] for ,what you [[trying]] for ,1,0,1
fluid and [[mesmerizing]] ,fluid and [[hallucinatory]] ,1,0,1
"it 's a [[testament]] to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ","it 's a [[attest]] to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",1,0,1
[[lacks]] the charisma and ability to carry the film on his admittedly broad shoulders . ,[[flaw]] the charisma and ability to carry the film on his admittedly broad shoulders . ,0,1,0
"... a [[vivid]] , [[thoughtful]] , unapologetically raw coming-of-age [[tale]] full of [[sex]] , drugs and [[rock]] 'n' [[roll]] . ","... a [[hardheaded]] , [[melancholic]] , unapologetically raw coming-of-age [[escudos]] full of [[indecency]] , drugs and [[rattle]] 'n' [[wavy]] . ",1,0,1
"the director , with his [[fake]] backdrops and stately pacing , ","the director , with his [[fictional]] backdrops and stately pacing , ",0,1,0
[[spousal]] [[abuse]] ,[[newlyweds]] [[diverted]] ,0,1,0
a [[diverse]] and astonishingly [[articulate]] [[cast]] of palestinian and israeli children . ,a [[dissenting]] and astonishingly [[definition]] [[smelters]] of palestinian and israeli children . ,1,0,1
anyone who [[suffers]] through this [[film]] ,anyone who [[adversity]] through this [[cinematography]] ,0,1,0
one carried by a strong [[sense]] of [[humanism]] ,one carried by a strong [[foreboding]] of [[worldview]] ,1,0,1
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory [[conclusion]] . ","for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory [[concluding]] . ",0,1,0
another [[entertaining]] romp from robert [[rodriguez]] . ,another [[distracting]] romp from robert [[joao]] . ,1,0,1
[[underachiever]] ,[[overachiever]] ,0,1,0
a [[film]] of ideas and [[wry]] [[comic]] mayhem ,a [[photos]] of ideas and [[sneering]] [[farcical]] mayhem ,1,0,1
[[worth]] a ,[[chastisement]] a ,1,0,1
", [[reality]] shows -- reality shows for god 's sake ! ",", [[truthful]] shows -- reality shows for god 's sake ! ",0,1,0
"whatever the [[movie]] 's sentimental , hypocritical lessons about sexism , its true [[colors]] come out in various wet t-shirt and shower scenes . ","whatever the [[film]] 's sentimental , hypocritical lessons about sexism , its true [[nuance]] come out in various wet t-shirt and shower scenes . ",0,1,0
'll [[cry]] for your money back ,'ll [[haddad]] for your money back ,0,1,0
[[enthralling]] ,[[hallucinatory]] ,1,0,1
"like max rothman 's future , [[does]] not work . ","like max rothman 's future , [[want]] not work . ",0,1,0
"is [[worse]] : the part where nothing 's happening , or the part where something 's happening ","is [[gravest]] : the part where nothing 's happening , or the part where something 's happening ",0,1,0
"[[has]] the thrown-together feel of a summer-camp talent [[show]] : hastily [[written]] , underrehearsed , [[arbitrarily]] plotted and ","[[gets]] the thrown-together feel of a summer-camp talent [[shows]] : hastily [[manuscript]] , underrehearsed , [[innocently]] plotted and ",0,1,0
of [[quirky]] [[characters]] and an [[engaging]] story ,of [[deranged]] [[properties]] and an [[implicating]] story ,1,0,1
[[bad]] run ,[[baleful]] run ,0,1,0
"making kahlo 's [[art]] a [[living]] , ","making kahlo 's [[arte]] a [[dwellers]] , ",1,0,1
[[many]] [[pleasures]] ,[[dissimilar]] [[revel]] ,1,0,1
may just [[end]] up trying to [[drown]] yourself in a lake afterwards . ,may just [[halts]] up trying to [[washbasin]] yourself in a lake afterwards . ,0,1,0
is [[worth]] searching out ,is [[punishment]] searching out ,1,0,1
"at this time , with this cast , this movie is [[hopeless]] ","at this time , with this cast , this movie is [[frenetic]] ",0,1,0
[[time]] bombs ,[[seasons]] bombs ,0,1,0
the surface histrionics [[failing]] to compensate for the paper-thin characterizations and facile situations ,the surface histrionics [[gap]] to compensate for the paper-thin characterizations and facile situations ,0,1,0
"plumbs [[uncharted]] depths of [[stupidity]] , incoherence and sub-sophomoric sexual banter . ","plumbs [[unexplored]] depths of [[madmen]] , incoherence and sub-sophomoric sexual banter . ",0,1,0
[[balances]] both [[traditional]] or [[modern]] [[stories]] together in a [[manner]] that one never [[overwhelms]] the other . ,[[counterweight]] both [[symptomatic]] or [[updated]] [[history]] together in a [[road]] that one never [[excels]] the other . ,1,0,1
a [[sour]] taste in one 's [[mouth]] ,a [[lukewarm]] taste in one 's [[kisser]] ,0,1,0
"... [[familiar]] and [[predictable]] , and 4/5ths of it [[might]] as well have [[come]] from a xerox [[machine]] [[rather]] than ( writer-director ) [[franc]] . ","... [[habitual]] and [[predict]] , and 4/5ths of it [[possibilities]] as well have [[entered]] from a xerox [[computer]] [[too]] than ( writer-director ) [[frank]] . ",0,1,0
responsible for one of the [[worst]] movies of one year ,responsible for one of the [[strongest]] movies of one year ,0,1,0
